File,Number of Changes
Setup/Assets/Language/Indonesian.iglang.json,4
Setup/Assets/Language/Irish.iglang.json,4
Setup/Assets/Language/Italian.iglang.json,7
Setup/Assets/Language/Japanese.iglang.json,7
Setup/Assets/Language/Korean.iglang.json,7
Setup/Assets/Language/Kurmanji (Kurdish).iglang.json,6
Setup/Assets/Language/Lithuanian.iglang.json,8
Setup/Assets/Language/Malay.iglang.json,8
Setup/Assets/Language/Norwegian Bokmal.iglang.json,8
Setup/Assets/Language/Persian.iglang.json,6
Setup/Assets/Language/Polish.iglang.json,7
"Setup/Assets/Language/Portuguese, Brazilian.iglang.json",6
Setup/Assets/Language/Portuguese.iglang.json,9
Setup/Assets/Language/Romanian.iglang.json,6
Setup/Assets/Language/Russian.iglang.json,8
Setup/Assets/Language/Serbian (Cyrillic).iglang.json,7
Setup/Assets/Language/Serbian (Latin).iglang.json,5
Setup/Assets/Language/Slovak.iglang.json,6
Setup/Assets/Language/Slovenian.iglang.json,8
Setup/Assets/Language/Spanish.iglang.json,8
Setup/Assets/Language/Swedish.iglang.json,7
Setup/Assets/Language/Thai.iglang.json,6
Setup/Assets/Language/Turkish.iglang.json,7
Setup/Assets/Language/Ukrainian.iglang.json,6
Setup/Assets/Language/Vietnamese.iglang.json,7
Source/Components/ImageGlass.Settings/WebUI/src/@types/FrmSettings.ts,3
Source/Components/ImageGlass.Settings/WebUI/src/FrmSettings/webComponents/ToolbarButtonEditDialogHtmlElement.ts,2
Setup/v8/AdvancedInstaller/x64/ImageGlass-x64-cache/cacheIndex.txt,5
Setup/v8/AdvancedInstaller/x64/ImageGlass-x64-cache/part1/disk1.cab,4
Setup/v8/AdvancedInstaller/x64/ImageGlass-x64-cache/part1/output-info.ini,5
Setup/v8/AdvancedInstaller/x64/ImageGlass-x64.aip,5
Setup/v8/AdvancedInstaller/x64/ImageGlass-x64.back(21.0.1).aip,2
Setup/v8/AdvancedInstaller/x64/ImageGlass-x64.back(21.2.2).aip,3
Setup/v8/AdvancedInstaller/x86/ImageGlass-x86-cache/cacheIndex.txt,5
Setup/v8/AdvancedInstaller/x86/ImageGlass-x86-cache/part1/disk1.cab,4
Setup/v8/AdvancedInstaller/x86/ImageGlass-x86-cache/part1/output-info.ini,5
Setup/v8/AdvancedInstaller/x86/ImageGlass-x86.aip,5
Setup/v8/AdvancedInstaller/x86/ImageGlass-x86.back(21.0.1).aip,2
Setup/v8/AdvancedInstaller/x86/ImageGlass-x86.back(21.2.2).aip,3
Setup/v8/Assets/Ext-Icons/3FR.ico,2
Setup/v8/Assets/Ext-Icons/ARI.ico,2
Setup/v8/Assets/Ext-Icons/ARW.ico,2
Setup/v8/Assets/Ext-Icons/AVIF.ico,2
Setup/v8/Assets/Ext-Icons/B64.ico,2
Setup/v8/Assets/Ext-Icons/BAY.ico,2
Setup/v8/Assets/Ext-Icons/BMP.ico,2
Setup/v8/Assets/Ext-Icons/CAP.ico,2
Setup/v8/Assets/Ext-Icons/CR2.ico,2
Setup/v8/Assets/Ext-Icons/CR3.ico,2
Setup/v8/Assets/Ext-Icons/CRW.ico,2
Setup/v8/Assets/Ext-Icons/CUR.ico,2
Setup/v8/Assets/Ext-Icons/CUT.ico,2
Setup/v8/Assets/Ext-Icons/DATA.ico,2
Setup/v8/Assets/Ext-Icons/DCR.ico,2
Setup/v8/Assets/Ext-Icons/DCS.ico,2
Setup/v8/Assets/Ext-Icons/DDS.ico,2
Setup/v8/Assets/Ext-Icons/DIB.ico,2
Setup/v8/Assets/Ext-Icons/DNG.ico,2
Setup/v8/Assets/Ext-Icons/DRF.ico,2
Setup/v8/Assets/Ext-Icons/EIP.ico,2
Setup/v8/Assets/Ext-Icons/EMF.ico,2
Setup/v8/Assets/Ext-Icons/ERF.ico,2
Setup/v8/Assets/Ext-Icons/EXIF.ico,2
Setup/v8/Assets/Ext-Icons/EXR.ico,2
Setup/v8/Assets/Ext-Icons/FFF.ico,2
Setup/v8/Assets/Ext-Icons/GIF.ico,2
Setup/v8/Assets/Ext-Icons/GPR.ico,2
Setup/v8/Assets/Ext-Icons/HDR.ico,2
Setup/v8/Assets/Ext-Icons/HEIC.ico,2
Setup/v8/Assets/Ext-Icons/HEIF.ico,2
Setup/v8/Assets/Ext-Icons/ICO.ico,2
Setup/v8/Assets/Ext-Icons/IIQ.ico,2
Setup/v8/Assets/Ext-Icons/JFIF.ico,2
Setup/v8/Assets/Ext-Icons/JPE.ico,2
Setup/v8/Assets/Ext-Icons/JPEG.ico,2
Setup/v8/Assets/Ext-Icons/JPG.ico,2
Setup/v8/Assets/Ext-Icons/JXL.ico,2
Setup/v8/Assets/Ext-Icons/K25.ico,2
Setup/v8/Assets/Ext-Icons/KDC.ico,2
Setup/v8/Assets/Ext-Icons/MDC.ico,2
Setup/v8/Assets/Ext-Icons/MEF.ico,2
Setup/v8/Assets/Ext-Icons/MOS.ico,2
Setup/v8/Assets/Ext-Icons/MRW.ico,2
Setup/v8/Assets/Ext-Icons/NEF.ico,2
Setup/v8/Assets/Ext-Icons/NRW.ico,2
Setup/v8/Assets/Ext-Icons/OBM.ico,2
Setup/v8/Assets/Ext-Icons/ORF.ico,2
Setup/v8/Assets/Ext-Icons/PBM.ico,2
Setup/v8/Assets/Ext-Icons/PCX.ico,2
